number,name,postion,bats_throws,height,weight,birth_year
19,CHANG Yi,P,R/R,182,86,1994
9,CHANG Cheng-Yu,IF,L/R,178,70,2000
17,CHEN Kuan-Yu,P,L/L,178,80,1990
20,CHEN Po-Ching,P,L/L,175,80,1998
24,CHEN Chieh-Hsien,OF,L/R,173,73,1994
59,CHEN Kuan-Wei,P,R/R,183,92,1996
98,CHEN Chen-Wei,OF,L/R,180,72,1997
90,CHIANG Kun-Yu,IF,R/R,175,72,2000
12,CHIANG Kuo-Hao,P,R/R,178,73,1997
14,CHIU Chih-Cheng,OF,L/L,168,80,2000
85,CHU Yu-Hsien,IF,L/L,188,100,1991
71,CHUANG Hsin Yen,P,R/R,181,91,2000
95,DAI Pei-Fong,C,L/R,182,75,2000
4,GILJEGILJAW Kungkuan,IF,R/R,180,104,1994
69,HUANG Tzu-Peng,P,R/R,183,80,1994
39,HUANG En-Sih,P,R/R,185,110,1996
75,KUO Chun-Lin,P,R/R,175,76,1992
25,LI Kai-Wei,IF,L/R,174,76,1997
45,LIN Yu-Min,P,L/L,180,82,2003
27,LIN Chia-Cheng,C,R/R,185,91,1997
83,LIN Li,IF,R/R,182,86,1996
77,LIN An-Ko,OF,L/L,184,90,1997
18,LIN Kai-Wei,P,R/R,178,79,1996
35,PAN Chieh-Kai,IF,L/R,184,78,1994
32,TSENG Song-En,OF,L/R,178,92,2000
64,WANG Chih-Hsuan,P,L/L,175,72,2001
21,WU Chun-Wei,P,R/R,175,78,1998
58,YUEH Tung-Hua,IF,L/R,178,75,1995
99,TSENG Hao-Jiu,Manager/Head coach,,,,
34,KAO Chih-Kang,Coach,,,,
31,CHEN Chiang-Ho,Coach,,,,
70,LIN Yueh-Ping,Coach,,,,
28,KAO Kuo Hui,Coach,,,,
23,PENG Cheng-Min,Coach,,,,
40,WANG Chien-Ming,Pitching Coach,,,,
66,CHANG Chien-Ming,Coach,,,,
